,Soil Moisture,Temperature, Soil Humidity,Air temperature (C),Air humidity (%),Pressure (KPa)
7093,39.0,42.0,57.0,39.91,2.82,100.66
7094,42.0,27.0,35.0,39.85,2.87,100.66
7095,16.0,9.0,50.0,39.38,8.16,100.66
7096,38.0,13.0,63.0,38.9,13.46,100.65
7097,3.0,6.0,70.0,37.9,16.43,100.65
7098,34.0,10.0,63.0,36.91,19.4,100.65
7099,63.0,26.0,58.0,36.3,19.32,100.65
7100,60.0,9.0,31.0,35.68,19.24,100.64
7101,11.0,27.0,33.0,35.52,19.67,100.64
7102,30.0,28.0,42.0,35.36,20.1,100.63
7103,2.0,43.0,49.0,35.2,20.9,100.64
7104,4.0,4.0,64.0,35.04,21.7,100.64
7105,80.0,10.0,40.0,34.65,22.1,100.64
7106,90.0,32.0,55.0,34.26,22.5,100.63
7107,5.0,28.0,44.0,33.96,23.76,100.62
7108,32.0,4.0,31.0,33.65,25.03,100.62
7109,28.0,19.0,66.0,33.32,25.46,100.62
7110,18.0,2.0,56.0,32.99,25.89,100.61
7111,43.0,28.0,59.0,32.65,27.04,100.62
7112,27.0,28.0,53.0,32.31,28.2,100.62
7113,66.0,1.0,61.0,32.22,27.49,100.62
7114,21.0,28.0,60.0,32.14,26.79,100.62
7115,83.0,13.0,65.0,32.28,23.86,100.62
7116,80.0,14.0,35.0,32.43,20.94,100.62
7117,4.0,36.0,20.0,32.48,20.9,100.62
7118,18.0,2.0,67.0,32.53,20.86,100.61
7119,62.0,21.0,59.0,32.23,20.85,100.61
7120,11.0,31.0,31.0,31.92,20.84,100.6
7121,3.0,17.0,51.0,31.62,20.83,100.6
7122,27.0,17.0,44.0,31.32,20.82,100.6
7123,57.0,20.0,35.0,30.92,21.28,100.6
7124,32.0,35.0,28.0,30.52,21.73,100.59
7125,28.0,25.0,44.0,30.34,22.44,100.58
7126,86.0,33.0,35.0,30.16,23.15,100.58
7127,69.0,9.0,48.0,29.88,23.62,100.58
7128,59.0,35.0,25.0,29.61,24.1,100.58
7129,66.0,34.0,20.0,29.37,24.69,100.58
7130,19.0,11.0,39.0,29.13,25.28,100.59
7131,89.0,33.0,24.0,28.89,25.88,100.6
7132,25.0,28.0,57.0,28.65,26.47,100.6
7133,37.0,34.0,50.0,28.33,26.94,100.6
7134,23.0,39.0,35.0,28.01,27.41,100.61
7135,71.0,43.0,24.0,27.64,27.74,100.62
7136,37.0,6.0,35.0,27.26,28.07,100.64
7137,33.0,7.0,49.0,26.84,28.86,100.65
7138,21.0,9.0,56.0,26.43,29.65,100.66
7139,7.0,11.0,51.0,26.0,31.06,100.66
7140,27.0,34.0,23.0,25.57,32.47,100.66
7141,58.0,17.0,68.0,25.17,33.86,100.66
7142,90.0,1.0,24.0,24.77,35.25,100.67
7143,48.0,43.0,67.0,24.27,38.75,100.68
7144,90.0,5.0,63.0,23.77,42.25,100.69
7145,28.0,24.0,57.0,23.4,43.82,100.7
7146,60.0,6.0,27.0,23.04,45.38,100.72
7147,45.0,32.0,61.0,22.88,45.92,100.72
7148,70.0,19.0,58.0,22.72,46.46,100.73
7149,54.0,43.0,31.0,22.56,47.0,100.74
7150,56.0,5.0,51.0,22.4,47.54,100.74
7151,16.0,43.0,36.0,22.28,48.64,100.74
7152,77.0,45.0,35.0,22.17,49.73,100.75
7153,28.0,43.0,56.0,22.06,50.74,100.76
7154,49.0,40.0,61.0,21.94,51.74,100.77
7155,36.0,29.0,30.0,21.8,52.78,100.78
7156,40.0,16.0,23.0,21.66,53.82,100.78
7157,14.0,27.0,28.0,21.52,54.86,100.79
7158,20.0,44.0,50.0,21.38,55.9,100.8
7159,83.0,28.0,39.0,21.3,57.18,100.8
7160,51.0,30.0,45.0,21.21,58.47,100.8
7161,45.0,40.0,55.0,21.21,59.26,100.8
7162,9.0,37.0,42.0,21.21,60.04,100.81
7163,38.0,20.0,39.0,21.22,61.01,100.82
7164,80.0,2.0,50.0,21.23,61.98,100.82
7165,14.0,10.0,42.0,21.15,62.9,100.82
7166,76.0,41.0,53.0,21.07,63.83,100.83
7167,24.0,35.0,36.0,21.06,64.5,100.84
7168,45.0,17.0,63.0,21.05,65.17,100.86
7169,90.0,11.0,69.0,21.04,65.6,100.88
7170,54.0,2.0,22.0,21.02,66.03,100.89
7171,45.0,37.0,59.0,20.88,67.35,100.89
7172,47.0,5.0,32.0,20.75,68.67,100.89
7173,76.0,6.0,44.0,20.68,69.49,100.9
7174,71.0,0.0,65.0,20.61,70.31,100.9
7175,11.0,30.0,57.0,20.53,71.14,100.91
7176,47.0,25.0,41.0,20.46,71.96,100.91
7177,56.0,21.0,66.0,20.39,72.78,100.92
7178,14.0,17.0,46.0,20.29,73.6,100.93
7179,44.0,4.0,39.0,20.19,74.41,100.93
7180,80.0,10.0,64.0,20.2,74.11,100.93
7181,32.0,27.0,54.0,20.22,73.82,100.93
7182,87.0,15.0,44.0,20.2,73.88,100.94
7183,21.0,6.0,67.0,20.18,73.93,100.94
7184,34.0,13.0,36.0,20.12,74.24,100.94
7185,23.0,39.0,45.0,20.06,74.55,100.94
7186,87.0,32.0,26.0,20.01,74.84,100.94
7187,71.0,20.0,28.0,19.96,75.14,100.94
7188,38.0,9.0,20.0,19.89,75.35,100.94
7189,76.0,17.0,53.0,19.81,75.57,100.94
7190,64.0,27.0,21.0,19.77,75.63,100.94
7191,2.0,11.0,49.0,19.74,75.7,100.94
7192,8.0,34.0,59.0,19.8,75.1,100.94
7193,27.0,15.0,44.0,19.87,74.51,100.94
7194,36.0,29.0,68.0,19.86,74.45,100.94
7195,22.0,40.0,38.0,19.84,74.39,100.94
7196,36.0,39.0,56.0,19.77,74.49,100.94
7197,80.0,14.0,55.0,19.7,74.59,100.94
7198,18.0,42.0,66.0,19.64,74.98,100.94
7199,74.0,7.0,70.0,19.59,75.37,100.93
7200,5.0,10.0,31.0,19.55,75.56,100.93
7201,89.0,37.0,33.0,19.5,75.75,100.93
7202,24.0,5.0,35.0,19.48,76.04,100.93
7203,76.0,0.0,70.0,19.45,76.32,100.94
7204,77.0,19.0,20.0,19.42,76.61,100.94
7205,7.0,26.0,62.0,19.4,76.9,100.94
7206,87.0,33.0,66.0,19.41,77.21,100.94
7207,73.0,3.0,47.0,19.42,77.51,100.93
7208,37.0,11.0,64.0,19.42,77.4,100.93
7209,75.0,1.0,26.0,19.43,77.28,100.92
7210,40.0,31.0,67.0,19.4,77.34,100.92
7211,61.0,36.0,22.0,19.37,77.41,100.92
7212,32.0,16.0,23.0,19.29,77.54,100.92
7213,87.0,12.0,37.0,19.21,77.68,100.91
7214,42.0,1.0,25.0,19.21,77.56,100.9
7215,73.0,36.0,64.0,19.21,77.44,100.89
7216,72.0,44.0,67.0,19.09,77.88,100.89
7217,33.0,45.0,34.0,18.97,78.31,100.89
7218,73.0,40.0,32.0,18.99,78.29,100.88
7219,76.0,25.0,70.0,19.01,78.26,100.87
7220,71.0,4.0,21.0,19.02,78.28,100.87
7221,4.0,44.0,35.0,19.04,78.3,100.87
7222,72.0,4.0,44.0,19.05,78.28,100.86
7223,64.0,11.0,33.0,19.06,78.25,100.86
7224,26.0,23.0,25.0,19.0,78.43,100.85
7225,9.0,20.0,37.0,18.94,78.61,100.85
7226,21.0,36.0,68.0,18.92,78.94,100.84
7227,35.0,17.0,38.0,18.91,79.26,100.83
7228,71.0,10.0,33.0,18.94,79.05,100.82
7229,39.0,36.0,22.0,18.98,78.84,100.8
7230,19.0,21.0,28.0,18.92,78.84,100.8
7231,82.0,44.0,51.0,18.85,78.85,100.8
7232,70.0,26.0,52.0,18.85,78.84,100.8
7233,8.0,33.0,49.0,18.86,78.84,100.79
7234,55.0,40.0,44.0,18.86,78.83,100.79
7235,4.0,8.0,25.0,18.86,78.74,100.78
7236,44.0,33.0,35.0,18.87,78.64,100.78
7237,29.0,25.0,57.0,18.74,79.24,100.78
7238,74.0,9.0,25.0,18.62,79.83,100.77
7239,41.0,25.0,47.0,18.64,79.99,100.77
7240,26.0,36.0,55.0,18.66,80.15,100.77
7241,29.0,32.0,27.0,18.67,80.47,100.76
7242,16.0,1.0,45.0,18.68,80.79,100.76
7243,6.0,37.0,33.0,18.65,81.17,100.76
7244,64.0,0.0,41.0,18.62,81.55,100.76
7245,22.0,26.0,57.0,18.57,82.02,100.76
7246,4.0,10.0,40.0,18.52,82.48,100.75
7247,17.0,28.0,46.0,18.55,82.74,100.74
7248,88.0,16.0,55.0,18.58,82.99,100.74
7249,51.0,41.0,31.0,18.56,83.52,100.74
7250,84.0,22.0,34.0,18.53,84.04,100.74
7251,50.0,27.0,23.0,18.5,84.68,100.74
7252,80.0,4.0,42.0,18.46,85.33,100.74
7253,48.0,13.0,36.0,18.44,86.0,100.74
7254,68.0,40.0,26.0,18.42,86.67,100.74
7255,80.0,31.0,37.0,18.42,87.11,100.74
7256,44.0,20.0,23.0,18.43,87.55,100.73
7257,31.0,34.0,38.0,18.34,87.95,100.73
7258,34.0,22.0,46.0,18.25,88.35,100.73
7259,61.0,2.0,32.0,18.16,88.92,100.72
7260,30.0,44.0,53.0,18.08,89.49,100.72
7261,60.0,3.0,58.0,18.05,89.72,100.72
7262,7.0,15.0,41.0,18.01,89.94,100.72
7263,66.0,25.0,31.0,18.0,89.96,100.72
7264,81.0,8.0,54.0,17.99,89.97,100.71
7265,33.0,18.0,56.0,17.9,90.36,100.72
7266,58.0,6.0,35.0,17.8,90.76,100.72
7267,67.0,31.0,34.0,17.74,91.27,100.72
7268,86.0,38.0,47.0,17.68,91.78,100.73
7269,35.0,26.0,24.0,17.57,92.14,100.74
7270,5.0,11.0,65.0,17.46,92.5,100.74
7271,58.0,1.0,38.0,17.4,92.88,100.74
7272,90.0,36.0,24.0,17.34,93.26,100.75
7273,31.0,1.0,67.0,17.28,93.47,100.75
7274,85.0,35.0,50.0,17.22,93.68,100.75
7275,72.0,0.0,25.0,17.18,94.11,100.75
7276,48.0,15.0,66.0,17.15,94.54,100.75
7277,9.0,45.0,24.0,17.11,94.84,100.76
7278,19.0,4.0,29.0,17.08,95.15,100.78
7279,62.0,2.0,60.0,17.11,95.38,100.78
7280,50.0,0.0,63.0,17.14,95.62,100.78
7281,77.0,9.0,52.0,17.19,95.81,100.79
7282,20.0,22.0,63.0,17.23,96.0,100.8
7283,18.0,2.0,50.0,17.2,96.0,100.8
7284,27.0,23.0,33.0,17.18,96.0,100.81
7285,22.0,18.0,60.0,17.16,96.0,100.81
7286,41.0,4.0,32.0,17.15,96.0,100.82
7287,44.0,33.0,50.0,17.13,96.0,100.82
7288,54.0,40.0,55.0,17.1,96.0,100.83
7289,34.0,33.0,48.0,17.06,96.0,100.84
7290,51.0,18.0,26.0,17.09,96.0,100.84
7291,75.0,39.0,44.0,17.12,96.0,100.85
7292,29.0,9.0,70.0,17.28,96.0,100.86
7293,44.0,12.0,45.0,17.45,96.0,100.87
7294,85.0,36.0,69.0,17.94,95.76,100.87
7295,90.0,36.0,63.0,18.42,95.53,100.87
7296,85.0,3.0,68.0,19.16,92.2,100.87
7297,43.0,10.0,22.0,19.9,88.88,100.87
7298,67.0,42.0,31.0,20.74,84.32,100.88
7299,13.0,23.0,30.0,21.59,79.76,100.88
7300,55.0,24.0,67.0,22.19,76.53,100.88
7301,31.0,1.0,33.0,22.79,73.3,100.89
7302,84.0,34.0,44.0,23.4,70.78,100.89
7303,12.0,23.0,47.0,24.01,68.25,100.89
7304,88.0,34.0,31.0,24.44,66.72,100.9
7305,12.0,11.0,61.0,24.88,65.2,100.92
7306,62.0,27.0,30.0,25.08,64.24,100.93
7307,9.0,34.0,62.0,25.29,63.27,100.93
7308,81.0,0.0,45.0,25.9,60.96,100.94
7309,42.0,9.0,30.0,26.5,58.65,100.96
7310,54.0,20.0,44.0,26.82,57.28,100.96
7311,26.0,37.0,67.0,27.14,55.9,100.96
7312,53.0,14.0,34.0,27.34,54.8,100.96
7313,20.0,13.0,28.0,27.54,53.71,100.96
7314,50.0,25.0,44.0,27.87,52.4,100.96
7315,53.0,33.0,33.0,28.2,51.08,100.97
7316,51.0,19.0,22.0,28.76,49.55,100.98
7317,74.0,15.0,59.0,29.33,48.02,100.98
7318,76.0,16.0,20.0,29.84,46.3,101.0
7319,8.0,15.0,47.0,30.35,44.58,101.01
7320,53.0,0.0,66.0,30.9,42.86,101.0
7321,87.0,21.0,64.0,31.44,41.13,101.0
7322,76.0,3.0,50.0,31.95,39.69,101.0
7323,82.0,22.0,68.0,32.46,38.25,100.99
7324,50.0,14.0,32.0,32.7,37.38,100.98
7325,3.0,6.0,45.0,32.94,36.5,100.98
7326,7.0,26.0,62.0,33.14,35.98,100.98
7327,41.0,28.0,21.0,33.34,35.45,100.97
7328,69.0,32.0,37.0,34.39,33.08,100.98
7329,29.0,41.0,51.0,35.44,30.72,100.98
7330,24.0,1.0,61.0,35.74,29.52,100.98
7331,69.0,1.0,22.0,36.05,28.32,100.99
7332,64.0,24.0,21.0,36.26,27.4,100.98
7333,55.0,28.0,26.0,36.47,26.47,100.98
7334,72.0,34.0,55.0,36.85,25.96,100.98
7335,67.0,8.0,24.0,37.23,25.44,100.97
7336,61.0,38.0,49.0,37.38,24.74,100.96
7337,64.0,14.0,36.0,37.52,24.05,100.96
7338,83.0,37.0,56.0,38.08,23.46,100.96
7339,84.0,12.0,62.0,38.65,22.87,100.96
7340,85.0,36.0,41.0,38.49,23.47,100.95
7341,58.0,12.0,42.0,38.34,24.07,100.95
7342,64.0,24.0,31.0,38.18,24.66,100.94
7343,46.0,31.0,49.0,38.03,25.26,100.93
7344,85.0,21.0,63.0,37.88,25.86,100.93
7345,6.0,35.0,68.0,37.72,26.46,100.92
7346,80.0,0.0,62.0,37.56,27.05,100.91
7347,25.0,20.0,28.0,37.41,27.65,100.91
7348,81.0,27.0,61.0,37.25,28.25,100.9
7349,56.0,40.0,64.0,37.1,28.85,100.89
7350,35.0,8.0,37.0,36.94,29.45,100.89
7351,90.0,38.0,67.0,36.79,30.04,100.88
7352,68.0,10.0,57.0,36.64,30.64,100.87
7353,18.0,16.0,34.0,36.48,31.24,100.87
7354,83.0,0.0,26.0,36.33,31.84,100.86
7355,89.0,22.0,45.0,36.17,32.43,100.85
7356,47.0,32.0,20.0,36.02,33.03,100.85
7357,62.0,10.0,33.0,35.86,33.63,100.84
7358,44.0,18.0,53.0,35.61,34.75,100.83
7359,46.0,18.0,43.0,35.35,35.87,100.82
7360,27.0,5.0,67.0,36.0,34.69,100.82
7361,8.0,27.0,41.0,36.65,33.51,100.82
7362,70.0,24.0,48.0,36.3,34.0,100.81
7363,58.0,31.0,42.0,35.96,34.49,100.8
7364,63.0,14.0,22.0,35.03,36.41,100.79
7365,55.0,24.0,43.0,34.1,38.33,100.78
7366,30.0,29.0,66.0,33.39,39.86,100.77
7367,60.0,39.0,45.0,32.69,41.4,100.76
7368,12.0,12.0,49.0,33.04,40.54,100.75
7369,29.0,13.0,42.0,33.4,39.68,100.74
7370,36.0,26.0,36.0,32.99,40.54,100.74
7371,10.0,43.0,49.0,32.58,41.4,100.73
7372,4.0,24.0,35.0,32.2,42.3,100.72
7373,59.0,6.0,27.0,31.81,43.19,100.71
7374,40.0,4.0,29.0,31.66,43.39,100.7
7375,7.0,37.0,23.0,31.51,43.59,100.69
7376,80.0,34.0,62.0,31.76,43.04,100.68
7377,51.0,1.0,41.0,32.02,42.49,100.68
7378,65.0,20.0,21.0,31.04,43.57,100.66
7379,85.0,24.0,25.0,31.22,43.35,100.66
7380,57.0,14.0,62.0,31.39,43.13,100.66
7381,15.0,43.0,20.0,31.18,43.31,100.66
7382,57.0,26.0,63.0,30.96,43.49,100.65
7383,84.0,45.0,28.0,30.79,43.4,100.65
7384,57.0,25.0,31.0,30.62,43.31,100.65
7385,83.0,33.0,31.0,30.14,44.35,100.65
7386,76.0,36.0,41.0,29.65,45.39,100.64
7387,33.0,24.0,57.0,29.58,45.53,100.63
7388,19.0,0.0,31.0,29.51,45.68,100.62
7389,6.0,39.0,55.0,29.44,45.82,100.62
7390,38.0,18.0,46.0,29.37,45.96,100.61
7391,39.0,31.0,67.0,29.08,46.57,100.61
7392,85.0,40.0,26.0,28.78,47.18,100.61
7393,53.0,6.0,32.0,28.65,47.84,100.6
7394,61.0,3.0,32.0,28.51,48.5,100.6
7395,10.0,20.0,25.0,28.39,48.61,100.6
7396,24.0,18.0,48.0,28.27,48.73,100.59
7397,18.0,36.0,28.0,28.17,48.96,100.58
7398,65.0,23.0,29.0,28.08,49.19,100.58
7399,31.0,31.0,25.0,27.85,49.52,100.58
7400,64.0,1.0,35.0,27.62,49.84,100.59
7401,30.0,13.0,23.0,27.3,50.84,100.6
7402,32.0,15.0,59.0,26.99,51.84,100.6
7403,2.0,2.0,58.0,26.86,52.08,100.6
7404,81.0,44.0,62.0,26.73,52.32,100.6
7405,35.0,41.0,38.0,26.6,52.69,100.6
7406,21.0,23.0,49.0,26.47,53.06,100.6
7407,88.0,15.0,67.0,26.32,53.58,100.6
7408,90.0,4.0,56.0,26.17,54.11,100.6
7409,61.0,16.0,25.0,25.98,55.39,100.62
7410,8.0,5.0,63.0,25.79,56.67,100.63
7411,16.0,9.0,38.0,25.65,56.85,100.63
7412,31.0,23.0,51.0,25.52,57.03,100.62
7413,8.0,34.0,67.0,25.38,57.21,100.62
7414,43.0,10.0,26.0,25.3,57.77,100.62
7415,31.0,5.0,24.0,25.22,58.33,100.63
7416,3.0,37.0,67.0,24.87,59.54,100.62
7417,44.0,3.0,33.0,24.52,60.74,100.62
7418,7.0,30.0,60.0,24.39,62.2,100.62
7419,37.0,25.0,23.0,24.26,63.65,100.63
7420,82.0,18.0,52.0,23.92,65.28,100.64
7421,2.0,43.0,20.0,23.57,66.9,100.64
7422,8.0,45.0,21.0,23.26,68.14,100.65
7423,21.0,9.0,61.0,22.95,69.38,100.66
7424,89.0,19.0,61.0,22.78,70.14,100.66
7425,18.0,12.0,21.0,22.61,70.9,100.67
7426,29.0,14.0,65.0,22.36,72.78,100.67
7427,7.0,30.0,56.0,22.12,74.66,100.67
7428,14.0,35.0,60.0,21.66,78.66,100.68
7429,44.0,0.0,26.0,21.2,82.67,100.68
7430,33.0,36.0,34.0,21.03,83.75,100.68
7431,57.0,2.0,60.0,20.86,84.83,100.69
7432,48.0,13.0,20.0,20.72,85.22,100.69
7433,90.0,29.0,59.0,20.57,85.6,100.69
7434,11.0,0.0,39.0,20.52,85.26,100.69
7435,86.0,10.0,29.0,20.48,84.92,100.7
7436,55.0,34.0,33.0,20.43,84.57,100.7
7437,45.0,21.0,23.0,20.38,84.23,100.7
7438,72.0,25.0,65.0,20.4,83.06,100.7
7439,72.0,27.0,35.0,20.42,81.89,100.7
7440,20.0,38.0,35.0,20.44,81.35,100.71
7441,43.0,15.0,39.0,20.45,80.82,100.72
7442,7.0,24.0,36.0,20.35,81.84,100.73
7443,53.0,4.0,56.0,20.25,82.86,100.74
7444,33.0,39.0,46.0,20.22,83.56,100.75
7445,11.0,7.0,29.0,20.18,84.25,100.76
7446,88.0,8.0,30.0,20.14,84.74,100.77
7447,88.0,8.0,48.0,20.1,85.23,100.78
7448,18.0,11.0,67.0,20.07,85.72,100.79
7449,44.0,36.0,67.0,20.03,86.21,100.8
7450,52.0,18.0,53.0,19.99,87.18,100.81
7451,78.0,37.0,30.0,19.95,88.15,100.82
7452,84.0,21.0,43.0,19.91,88.97,100.83
7453,68.0,16.0,67.0,19.87,89.79,100.84
7454,25.0,23.0,57.0,19.82,90.36,100.84
7455,81.0,30.0,21.0,19.77,90.92,100.85
7456,22.0,34.0,67.0,19.72,91.19,100.85
7457,9.0,8.0,42.0,19.67,91.46,100.86
7458,77.0,15.0,21.0,19.64,91.74,100.86
7459,39.0,34.0,20.0,19.61,92.01,100.87
7460,58.0,8.0,50.0,19.6,92.22,100.87
7461,13.0,1.0,41.0,19.6,92.42,100.87
7462,79.0,12.0,37.0,19.62,92.2,100.88
7463,51.0,41.0,46.0,19.64,91.98,100.88
7464,88.0,28.0,56.0,19.63,91.76,100.88
7465,37.0,38.0,31.0,19.62,91.55,100.89
7466,24.0,30.0,48.0,19.62,91.43,100.9
7467,10.0,39.0,43.0,19.61,91.31,100.9
7468,12.0,7.0,27.0,19.62,91.34,100.9
7469,83.0,43.0,25.0,19.63,91.38,100.91
7470,6.0,22.0,47.0,19.62,91.42,100.91
7471,71.0,32.0,42.0,19.61,91.45,100.91
7472,7.0,9.0,67.0,19.6,91.48,100.92
7473,65.0,33.0,61.0,19.58,91.52,100.92
7474,61.0,40.0,46.0,19.57,91.56,100.92
7475,33.0,0.0,48.0,19.56,91.59,100.92
7476,49.0,11.0,49.0,19.47,91.94,100.93
7477,6.0,3.0,56.0,19.38,92.28,100.93
7478,20.0,33.0,43.0,19.39,92.47,100.93
7479,5.0,13.0,59.0,19.4,92.66,100.92
7480,7.0,24.0,28.0,19.32,92.97,100.92
7481,50.0,28.0,65.0,19.25,93.28,100.91
7482,32.0,40.0,54.0,19.2,93.62,100.91
7483,28.0,26.0,59.0,19.16,93.97,100.91
7484,53.0,6.0,65.0,19.11,94.31,100.91
7485,43.0,30.0,40.0,19.1,94.7,100.9
7486,37.0,12.0,22.0,19.09,95.1,100.9
7487,40.0,6.0,29.0,19.1,95.14,100.9
7488,9.0,33.0,64.0,19.12,95.17,100.91
7489,24.0,45.0,70.0,19.09,95.31,100.91
7490,35.0,11.0,51.0,19.06,95.45,100.91
7491,31.0,43.0,37.0,19.02,95.65,100.91
7492,39.0,19.0,29.0,18.99,95.85,100.91
7493,44.0,7.0,39.0,18.98,95.9,100.9
7494,25.0,1.0,60.0,18.98,95.96,100.9
7495,51.0,42.0,22.0,19.02,95.9,100.9
7496,69.0,14.0,46.0,19.05,95.85,100.9
7497,33.0,17.0,60.0,19.04,95.84,100.9
7498,47.0,24.0,62.0,19.03,95.84,100.9
7499,50.0,13.0,51.0,19.04,95.78,100.9
7500,6.0,30.0,59.0,19.04,95.72,100.9
7501,79.0,10.0,38.0,19.0,95.84,100.9
7502,22.0,8.0,47.0,18.97,95.95,100.89
7503,36.0,7.0,39.0,18.94,95.98,100.89
7504,90.0,45.0,53.0,18.91,96.0,100.89
7505,63.0,1.0,67.0,18.88,96.0,100.88
7506,15.0,42.0,38.0,18.85,96.0,100.88
7507,19.0,40.0,62.0,18.81,96.0,100.88
7508,66.0,4.0,55.0,18.77,96.0,100.87
7509,29.0,35.0,62.0,18.72,96.0,100.87
7510,58.0,32.0,69.0,18.66,96.0,100.87
7511,35.0,11.0,34.0,18.68,96.0,100.86
7512,79.0,23.0,68.0,18.69,96.0,100.85
7513,47.0,11.0,56.0,18.62,96.0,100.85
7514,51.0,7.0,67.0,18.55,96.0,100.86
7515,20.0,12.0,50.0,18.55,96.0,100.86
7516,36.0,31.0,62.0,18.54,96.0,100.86
7517,27.0,22.0,22.0,18.49,96.0,100.86
7518,43.0,35.0,56.0,18.45,96.0,100.86
7519,55.0,38.0,59.0,18.42,96.0,100.85
7520,4.0,44.0,57.0,18.4,96.0,100.84
7521,79.0,32.0,54.0,18.35,96.0,100.84
7522,86.0,45.0,58.0,18.31,96.0,100.83
7523,39.0,17.0,33.0,18.26,96.0,100.83
7524,86.0,22.0,40.0,18.21,96.0,100.83
7525,60.0,28.0,46.0,18.16,96.0,100.83
7526,90.0,0.0,70.0,18.11,96.0,100.84
7527,61.0,23.0,49.0,18.06,96.0,100.84
7528,84.0,24.0,28.0,18.01,96.0,100.84
7529,58.0,28.0,64.0,17.93,96.0,100.84
7530,37.0,30.0,21.0,17.85,96.0,100.84
7531,51.0,45.0,52.0,17.76,96.0,100.84
7532,57.0,28.0,23.0,17.68,96.0,100.84
7533,23.0,17.0,42.0,17.58,96.0,100.84
7534,68.0,44.0,37.0,17.49,96.0,100.84
7535,61.0,37.0,61.0,17.38,96.0,100.84
7536,70.0,9.0,57.0,17.26,96.0,100.83
7537,24.0,27.0,37.0,17.15,96.0,100.83
7538,87.0,45.0,47.0,17.04,96.0,100.83
7539,36.0,28.0,49.0,16.93,96.0,100.83
7540,73.0,41.0,63.0,16.76,96.0,100.83
7541,33.0,35.0,68.0,16.58,96.0,100.83
7542,50.0,10.0,40.0,16.49,96.0,100.82
7543,13.0,20.0,57.0,16.41,96.0,100.82
7544,58.0,12.0,53.0,16.46,96.0,100.82
7545,33.0,1.0,32.0,16.51,96.0,100.81
7546,77.0,15.0,28.0,16.62,96.0,100.82
7547,42.0,44.0,56.0,16.72,96.0,100.82
7548,44.0,14.0,48.0,16.7,96.0,100.82
7549,88.0,27.0,37.0,16.69,96.0,100.83
7550,16.0,39.0,67.0,16.7,96.0,100.84
7551,81.0,26.0,25.0,16.71,96.0,100.85
7552,64.0,36.0,34.0,16.75,96.0,100.85
7553,78.0,3.0,47.0,16.79,96.0,100.85
7554,43.0,24.0,23.0,16.8,96.0,100.85
7555,86.0,12.0,57.0,16.81,96.0,100.85
7556,73.0,17.0,69.0,16.9,96.0,100.85
7557,53.0,12.0,46.0,16.99,96.0,100.85
7558,85.0,21.0,28.0,17.01,96.0,100.85
7559,27.0,32.0,48.0,17.03,96.0,100.86
7560,12.0,41.0,28.0,17.07,96.0,100.87
7561,22.0,5.0,48.0,17.1,96.0,100.88
7562,40.0,26.0,23.0,17.11,96.0,100.88
7563,16.0,11.0,38.0,17.12,96.0,100.88
7564,88.0,8.0,41.0,17.16,96.0,100.88
7565,86.0,2.0,39.0,17.2,96.0,100.88
7566,7.0,18.0,63.0,17.19,96.0,100.89
7567,48.0,11.0,69.0,17.17,96.0,100.9
7568,52.0,6.0,65.0,17.18,96.0,100.9
7569,84.0,21.0,42.0,17.19,96.0,100.9
7570,26.0,44.0,21.0,17.26,96.0,100.89
7571,63.0,41.0,57.0,17.33,96.0,100.88
7572,86.0,30.0,56.0,17.33,96.0,100.89
7573,76.0,34.0,35.0,17.34,96.0,100.9
7574,45.0,35.0,56.0,17.33,96.0,100.9
7575,2.0,39.0,60.0,17.32,96.0,100.9
7576,29.0,16.0,66.0,17.45,96.0,100.9
7577,44.0,13.0,37.0,17.58,96.0,100.91
7578,86.0,26.0,43.0,17.71,96.0,100.92
7579,88.0,12.0,50.0,17.84,96.0,100.92
7580,1.0,42.0,58.0,17.96,96.0,100.92
7581,2.0,43.0,42.0,18.08,96.0,100.92
7582,42.0,12.0,42.0,18.2,96.0,100.93
7583,77.0,29.0,53.0,18.32,96.0,100.94
7584,77.0,22.0,23.0,18.44,96.0,100.94
7585,42.0,24.0,43.0,18.55,96.0,100.95
7586,7.0,12.0,31.0,18.62,96.0,100.96
7587,67.0,21.0,26.0,18.7,96.0,100.97
7588,84.0,3.0,65.0,19.17,96.0,100.97
7589,55.0,31.0,67.0,19.63,96.0,100.97
7590,50.0,34.0,34.0,20.1,96.0,100.97
7591,71.0,13.0,67.0,21.06,95.5,100.98
7592,15.0,18.0,25.0,22.01,95.01,101.0
7593,18.0,23.0,47.0,21.78,92.88,101.0
7594,41.0,38.0,34.0,21.54,90.75,101.01
7595,22.0,12.0,70.0,22.38,87.04,101.0
7596,70.0,10.0,61.0,23.22,83.32,101.0
7597,28.0,41.0,30.0,23.06,82.04,101.0
7598,26.0,25.0,35.0,22.9,80.75,101.0
7599,44.0,8.0,23.0,23.13,80.14,101.0
7600,88.0,11.0,59.0,23.36,79.53,101.0
7601,44.0,3.0,32.0,24.6,74.48,101.02
7602,85.0,7.0,20.0,25.83,69.43,101.03
7603,36.0,21.0,50.0,26.79,65.54,101.04
7604,16.0,30.0,42.0,27.75,61.65,101.04
7605,67.0,35.0,23.0,27.81,60.22,101.04
7606,17.0,24.0,38.0,27.87,58.79,101.04
7607,70.0,18.0,63.0,28.56,56.34,101.04
7608,35.0,11.0,51.0,29.25,53.9,101.04
